delivery_id,order_id,delivery_status,delivery_time,rider_id
138,4198,Order,1:42:03,20
139,896,Order,15:12:10,6
140,623,Delivered,13:59:59,11
141,2578,Not Delivered,5:40:41,7
142,6091,Not Delivered,4:32:50,6
143,8654,Not Delivered,9:56:50,1
144,1154,Delivered,16:15:20,3
145,5378,Delivered,4:28:23,3
146,2425,Delivered,1:50:23,17
147,1348,Not Delivered,2:24:38,9
148,2072,Not Delivered,"1 day, 0:36:55",2
149,7444,Delivered,10:55:43,1
150,1225,Order,16:28:55,9
151,929,Order,16:21:50,4
152,3462,Delivered,23:57:50,20
153,1834,Not Delivered,11:12:18,3
154,6241,Order,13:06:04,18
155,6988,Not Delivered,9:44:27,5
156,4145,Not Delivered,7:51:20,17
157,2280,Delivered,11:34:28,5
158,9843,Delivered,2:39:15,10
159,2374,Order,17:19:52,9
160,4216,Not Delivered,7:59:38,8
161,657,Delivered,2:14:45,8
162,7028,Not Delivered,9:38:23,7
163,802,Order,2:32:26,19
164,300,Order,4:56:09,2
165,3017,Order,0:22:07,13
166,4827,Not Delivered,"1 day, 0:45:18",10
167,8012,Order,10:13:24,2
168,4189,Not Delivered,1:04:23,16
169,9894,Not Delivered,18:09:41,13
170,9654,Not Delivered,1:17:14,13
171,6234,Order,20:43:30,3
172,3833,Not Delivered,14:23:11,5
173,206,Delivered,17:44:27,9
174,6428,Order,13:40:39,11
175,4345,Not Delivered,7:49:37,16
176,5757,Not Delivered,21:11:41,14
177,1264,Order,5:53:18,10
178,9573,Order,10:37:00,1
179,3243,Delivered,8:12:54,14
180,1083,Order,15:17:34,17
181,3829,Not Delivered,10:34:48,16
182,1579,Not Delivered,16:49:58,5
183,9515,Not Delivered,0:45:00,17
184,6251,Not Delivered,13:17:42,14
185,9508,Not Delivered,"1 day, 0:42:11",2
186,5997,Order,6:14:10,14
187,538,Order,12:36:27,6
188,7645,Order,23:50:25,14
189,3315,Not Delivered,22:40:20,11
190,8495,Order,2:19:52,19
191,7158,Not Delivered,8:37:18,7
192,5135,Delivered,20:33:42,17
193,4289,Order,7:28:54,1
194,2113,Not Delivered,4:56:04,7
195,900,Not Delivered,14:07:31,7
196,9360,Order,8:40:37,6
197,1887,Delivered,7:39:27,20
198,1010,Order,20:53:50,2
199,103,Not Delivered,21:26:16,20
200,3946,Not Delivered,13:41:55,20
201,7351,Order,11:58:47,6
202,2269,Delivered,12:06:58,4
203,1725,Delivered,1:29:15,5
204,6306,Order,12:00:31,7
205,719,Not Delivered,10:12:49,4
206,2115,Not Delivered,3:31:06,8
207,6010,Not Delivered,18:27:38,1
208,6792,Order,0:23:44,13
209,8983,Delivered,0:48:16,6
210,8812,Delivered,19:29:27,17
211,2425,Not Delivered,18:32:06,2
212,7510,Delivered,6:01:54,13
213,1370,Not Delivered,17:29:07,9
214,7696,Delivered,2:44:49,6
215,3020,Order,1:33:22,13
216,2684,Not Delivered,16:25:29,18
217,7748,Order,14:06:36,4
218,7863,Not Delivered,10:21:51,10
219,4796,Delivered,"1 day, 0:29:14",12
220,7265,Delivered,20:43:42,3
221,7873,Not Delivered,0:10:34,15
222,3004,Delivered,2:39:00,10
223,9249,Order,5:12:59,15
224,3822,Delivered,13:08:07,5
225,6939,Delivered,12:31:12,18
226,9327,Order,3:55:04,18
227,6322,Delivered,2:49:35,10
228,5257,Order,15:18:56,4
229,7237,Not Delivered,21:44:52,1
230,1777,Not Delivered,5:23:19,17
231,5469,Not Delivered,18:16:49,10
232,6750,Order,14:31:18,16
233,5054,Delivered,4:53:43,14
234,3255,Delivered,17:37:52,10
235,2081,Delivered,7:19:02,5
236,2692,Delivered,20:50:01,12
237,380,Order,19:13:10,20
238,6688,Delivered,14:16:09,13
239,9333,Not Delivered,0:10:00,3
240,7948,Delivered,12:39:55,1
241,1047,Not Delivered,5:38:04,5
242,3002,Not Delivered,9:49:58,19
243,4123,Delivered,0:14:06,14
244,8364,Order,1:51:49,8
245,4714,Order,23:41:25,16
246,7723,Order,11:18:09,13
247,8014,Not Delivered,17:15:04,19
248,9383,Not Delivered,0:16:03,5
249,8556,Delivered,0:55:44,3
250,4476,Not Delivered,22:41:07,5
251,846,Order,3:50:18,20
252,9616,Not Delivered,18:18:35,20
253,4316,Not Delivered,11:25:51,2
254,3195,Not Delivered,15:15:47,8
255,6749,Not Delivered,0:37:43,6
256,6996,Order,8:08:49,14
257,9196,Order,22:00:03,16
258,5799,Order,7:48:47,3
259,1635,Order,1:15:54,20
260,4753,Delivered,15:32:27,1
261,6140,Order,"1 day, 0:48:06",19
262,5529,Delivered,12:53:13,16
263,5684,Order,4:54:54,18
264,8798,Not Delivered,"1 day, 0:25:28",17
265,3667,Order,17:12:18,6
266,7156,Delivered,8:35:03,15
267,2012,Not Delivered,9:15:14,12
268,8733,Order,1:02:07,13
269,703,Not Delivered,3:40:40,1
270,7700,Order,1:15:48,9
271,4726,Not Delivered,8:55:22,6
272,8376,Not Delivered,17:20:09,15
273,4611,Delivered,0:51:22,8
274,6680,Order,22:31:11,1
275,8835,Not Delivered,10:12:14,13
276,5421,Order,13:44:07,18
277,1028,Order,15:05:25,3
278,1107,Not Delivered,20:54:15,19
279,244,Order,16:20:33,18
280,304,Delivered,17:07:34,15
281,5109,Delivered,6:50:24,20
282,9140,Not Delivered,11:02:03,3
283,1607,Not Delivered,8:42:15,9
284,8159,Delivered,6:23:14,4
285,4725,Order,11:06:38,15
286,5875,Order,1:49:59,15
287,7226,Not Delivered,"1 day, 0:48:22",8
288,6458,Order,22:42:39,12
289,219,Not Delivered,12:19:58,3
290,6735,Order,6:46:23,6
291,483,Order,3:41:03,4
292,2804,Not Delivered,4:44:45,4
293,6522,Order,14:48:30,15
294,9774,Not Delivered,1:41:10,10
295,5339,Not Delivered,9:06:13,13
296,9368,Not Delivered,3:18:31,20
297,131,Not Delivered,3:11:22,19
298,1688,Delivered,8:08:40,1
299,9323,Delivered,5:37:42,12
300,899,Not Delivered,5:00:57,3
301,846,Order,9:16:03,5
302,4971,Delivered,17:45:36,15
303,2564,Order,19:29:30,2
304,3034,Not Delivered,11:43:00,18
305,8179,Not Delivered,7:14:08,15
306,7657,Not Delivered,19:15:21,3
307,1773,Delivered,11:46:57,1
308,4724,Delivered,12:14:20,17
309,3228,Delivered,11:26:06,5
310,8423,Not Delivered,10:35:45,17
311,596,Not Delivered,18:33:17,4
312,9604,Delivered,18:54:57,1
313,4220,Not Delivered,11:03:39,1
314,144,Not Delivered,5:08:47,6
315,7575,Not Delivered,0:11:17,16
316,7412,Delivered,0:54:24,9
317,7270,Delivered,14:03:42,6
318,7832,Not Delivered,6:56:49,19
319,8960,Delivered,4:30:05,16
320,6888,Not Delivered,9:46:05,5
321,7346,Delivered,2:03:17,1
322,1228,Delivered,"1 day, 0:18:42",4
323,1612,Order,15:22:52,11
324,6656,Order,11:59:56,18
325,7585,Delivered,22:02:13,2
326,261,Not Delivered,3:25:51,17
327,2967,Delivered,6:07:23,1
328,1438,Not Delivered,9:58:45,6
329,1764,Delivered,3:09:42,8
330,3156,Not Delivered,"1 day, 0:24:04",18
331,2074,Not Delivered,10:16:51,16
332,9325,Order,16:02:06,13
333,4448,Delivered,9:46:31,16
334,5541,Delivered,0:45:46,7
335,7633,Delivered,2:25:23,10
336,3429,Not Delivered,15:15:01,16
337,2331,Not Delivered,20:12:07,11
338,6887,Order,7:32:59,20
339,4479,Order,9:21:16,4
340,401,Delivered,21:43:36,8
341,2980,Not Delivered,8:04:26,3
342,2120,Order,2:11:49,18
343,3097,Delivered,7:02:55,18
344,8233,Not Delivered,17:58:29,11
345,511,Not Delivered,6:45:29,20
346,9198,Order,0:10:27,8
347,4540,Not Delivered,8:43:33,14
348,115,Not Delivered,8:57:24,11
349,9134,Delivered,9:55:55,4
350,546,Not Delivered,23:41:40,15
351,6054,Order,23:31:29,17
352,5740,Delivered,11:36:09,11
353,2958,Not Delivered,12:44:25,7
354,7148,Order,9:17:53,5
355,3322,Delivered,21:55:55,6
356,3790,Not Delivered,3:13:04,14
357,7874,Order,7:18:16,2
358,515,Order,4:56:56,6
359,3432,Not Delivered,6:11:21,18
360,2537,Order,"1 day, 0:49:22",5
361,7970,Delivered,10:54:24,20
362,4475,Not Delivered,17:02:08,13
363,2175,Order,22:40:47,15
364,2142,Order,8:41:14,4
365,2439,Not Delivered,13:34:35,9
366,2962,Order,6:16:45,13
367,603,Delivered,17:52:39,12
368,2111,Order,4:13:22,7
369,4555,Order,2:33:29,11
370,2014,Order,23:36:07,13
371,8112,Delivered,8:05:00,4
372,4295,Order,17:02:29,8
373,7554,Not Delivered,20:24:08,5
374,5600,Not Delivered,20:57:34,5
375,8837,Delivered,14:24:00,11
376,5575,Delivered,10:38:42,7
377,8105,Order,23:09:08,5
378,1231,Order,13:25:26,2
379,4669,Order,10:33:16,14
380,9758,Not Delivered,3:56:27,4
381,6400,Order,10:34:09,3
382,7800,Not Delivered,9:41:10,12
383,5213,Order,11:51:17,19
384,9570,Order,9:39:55,19
385,2417,Delivered,8:40:29,13
386,7618,Order,3:03:55,1
387,1673,Order,12:31:24,8
388,9313,Order,18:54:11,15
389,4968,Order,21:59:29,7
390,2721,Not Delivered,6:40:41,5
391,1022,Not Delivered,12:33:21,17
392,1497,Order,15:30:41,3
393,4747,Not Delivered,20:17:15,15
394,9060,Order,23:02:34,2
395,4128,Delivered,6:31:49,17
396,6788,Not Delivered,7:54:14,3
397,2891,Order,10:15:43,7
398,9780,Order,8:55:46,19
399,8058,Delivered,3:10:50,13
400,1218,Order,0:46:52,18
401,9132,Delivered,14:19:06,19
402,7066,Not Delivered,1:58:05,19
403,4783,Order,16:19:24,11
404,3659,Not Delivered,15:49:06,20
405,1011,Not Delivered,2:15:40,9
406,2991,Delivered,23:07:11,14
407,5012,Order,9:53:08,1
408,5689,Not Delivered,3:39:02,7
409,6900,Delivered,8:04:14,19
410,5258,Delivered,10:15:34,20
411,7913,Not Delivered,0:37:36,20
412,2418,Delivered,2:53:51,2
413,6649,Delivered,14:22:54,2
414,2489,Not Delivered,6:03:40,4
415,6617,Delivered,15:47:07,4
416,3311,Order,"1 day, 0:08:11",14
417,3879,Not Delivered,10:23:42,18
418,8378,Delivered,15:18:50,5
419,7583,Not Delivered,5:40:13,18
420,4650,Order,11:25:06,16
421,8620,Order,9:53:38,4
422,7526,Not Delivered,12:41:05,10
423,8766,Delivered,19:20:27,19
424,3098,Delivered,8:48:12,20
425,8689,Not Delivered,21:29:42,9
426,4302,Not Delivered,13:36:47,16
427,5336,Order,12:00:50,18
428,1121,Delivered,21:04:49,15
429,5230,Delivered,23:23:49,20
430,9601,Delivered,7:01:38,15
431,7150,Not Delivered,4:35:29,17
432,8508,Delivered,13:26:46,7
433,9274,Not Delivered,10:45:14,19
434,1261,Not Delivered,3:15:21,18
435,8791,Order,7:07:42,3
436,8237,Delivered,6:18:34,7
437,679,Order,15:23:20,4
438,1558,Order,17:34:17,16
439,3946,Not Delivered,15:45:37,3
440,3712,Not Delivered,3:22:10,9
441,3561,Order,18:07:45,12
442,8232,Order,18:26:55,5
443,1088,Order,20:38:35,1
444,9734,Not Delivered,"1 day, 0:54:13",16
445,9709,Delivered,13:00:13,3
446,3228,Not Delivered,20:37:34,8
447,3153,Delivered,22:34:09,17
448,2513,Order,12:29:17,10
449,3255,Order,9:30:28,2
450,9266,Not Delivered,9:34:17,15
451,3092,Not Delivered,15:24:29,7
452,7458,Delivered,19:37:38,7
453,2330,Delivered,21:10:12,19
454,9189,Order,6:39:15,8
455,5252,Delivered,5:38:03,5
456,4051,Delivered,1:52:36,12
457,9100,Not Delivered,18:30:28,17
458,4546,Not Delivered,14:35:16,11
459,2416,Not Delivered,7:45:04,15
460,6356,Order,16:56:55,5
461,5767,Not Delivered,16:07:37,4
462,1589,Not Delivered,7:12:14,5
463,6248,Not Delivered,10:28:53,1
464,621,Not Delivered,2:52:10,12
465,6543,Not Delivered,13:25:09,19
466,6537,Not Delivered,20:26:52,13
467,6690,Delivered,20:10:19,16
468,5619,Order,9:18:52,17
469,2080,Not Delivered,5:39:09,17
470,8222,Delivered,22:50:41,9
471,8344,Delivered,23:51:17,12
472,976,Order,15:55:46,10
473,9416,Not Delivered,1:22:57,1
474,8426,Order,8:05:39,12
475,622,Order,2:35:28,14
476,4425,Order,18:02:25,8
477,7332,Delivered,9:34:04,2
478,5123,Order,0:18:29,9
479,8609,Not Delivered,5:52:06,7
480,4345,Order,9:36:02,13
481,8606,Not Delivered,21:46:29,13
482,1522,Not Delivered,21:41:27,10
483,182,Delivered,22:58:52,12
484,6683,Delivered,"1 day, 0:57:01",10
485,7699,Not Delivered,2:10:47,12
486,7210,Not Delivered,7:38:45,15
487,141,Order,4:33:18,12
488,9116,Delivered,16:32:21,19
489,8194,Not Delivered,21:34:33,6
490,7276,Not Delivered,3:11:58,6
491,8825,Delivered,18:22:32,4
492,3725,Not Delivered,20:38:01,18
493,9347,Not Delivered,21:45:22,16
494,542,Not Delivered,6:03:11,19
495,9905,Order,6:13:07,8
496,5334,Order,5:41:55,20
497,8491,Order,18:41:51,2
498,1700,Delivered,17:26:56,2
499,2122,Order,11:40:30,17
500,8800,Order,17:35:18,12
501,4840,Not Delivered,16:38:51,9
502,1995,Order,1:11:22,1
503,1012,Order,17:21:06,7
504,1581,Order,11:38:42,14
505,7230,Order,1:17:26,10
506,1125,Order,21:51:57,10
507,9883,Not Delivered,5:20:04,8
508,2048,Not Delivered,23:59:52,15
509,6267,Not Delivered,0:50:24,3
510,7048,Not Delivered,14:01:25,9
511,9805,Order,1:16:10,4
512,6068,Delivered,0:48:30,18
513,2694,Not Delivered,6:00:14,10
514,7929,Not Delivered,15:52:48,4
515,7783,Not Delivered,23:15:25,9
516,6883,Not Delivered,15:22:58,3
517,4540,Delivered,9:26:43,12
518,7412,Delivered,4:21:04,14
519,7932,Not Delivered,15:13:42,20
520,2189,Delivered,16:49:30,7
521,2533,Order,12:38:09,9
522,9675,Delivered,5:48:22,6
523,5056,Delivered,6:12:48,15
524,5243,Order,8:57:40,8
525,4579,Not Delivered,20:52:58,5
526,3911,Delivered,12:54:31,19
527,3473,Order,18:58:45,8
528,5127,Order,14:41:10,8
529,574,Not Delivered,22:59:12,19
530,9237,Order,11:06:00,13
531,7474,Not Delivered,16:21:04,17
532,6629,Delivered,13:18:03,18
533,6526,Delivered,14:17:29,20
534,1342,Not Delivered,19:48:29,4
535,1400,Not Delivered,15:07:19,5
536,2349,Order,9:10:12,16
537,6415,Order,3:46:27,8
538,6222,Delivered,"1 day, 0:37:24",14
539,4096,Not Delivered,11:08:44,20
540,3823,Not Delivered,23:15:52,4
541,6321,Delivered,13:33:51,18
542,1138,Not Delivered,7:51:52,8
543,5240,Order,15:20:45,8
544,6532,Not Delivered,3:43:24,4
545,8364,Not Delivered,8:32:04,20
546,3412,Not Delivered,0:50:37,4
547,3333,Delivered,23:26:15,12
548,1739,Not Delivered,17:31:04,7
549,7976,Order,7:40:24,15
550,5079,Order,"1 day, 0:43:06",5
551,4852,Order,4:55:44,13
552,5643,Order,"1 day, 0:38:04",19
553,5877,Order,22:32:33,17
554,8039,Order,19:42:05,1
555,8087,Delivered,"1 day, 0:58:35",9
556,5528,Order,7:21:04,18
557,467,Delivered,20:43:53,17
558,3031,Not Delivered,6:20:28,7
559,8434,Delivered,21:12:09,14
560,540,Delivered,2:10:56,5
561,9375,Not Delivered,5:38:55,8
562,9708,Delivered,9:16:19,17
563,3157,Delivered,8:23:53,8
564,1913,Order,13:07:43,14
565,1884,Delivered,20:03:32,10
566,4988,Not Delivered,9:28:45,9
567,8690,Delivered,6:19:24,15
568,3445,Delivered,16:31:15,14
569,9638,Delivered,17:11:11,16
570,4530,Delivered,14:27:49,16
571,2246,Order,21:53:01,8
572,1296,Order,9:10:29,8
573,3267,Order,21:23:30,20
574,7836,Not Delivered,5:58:52,5
575,431,Not Delivered,0:21:34,16
576,6805,Not Delivered,1:49:40,6
577,5971,Order,4:45:10,9
578,5787,Delivered,16:32:20,19
579,6047,Delivered,13:19:05,15
580,3932,Order,23:25:37,10
581,5177,Delivered,23:21:46,6
582,7701,Not Delivered,2:23:59,10
583,4378,Order,19:56:54,15
584,3676,Order,6:10:30,15
585,7199,Not Delivered,2:18:54,13
586,3834,Order,13:16:17,5
587,3330,Delivered,21:09:08,10
588,5020,Not Delivered,10:10:39,16
589,6935,Not Delivered,1:43:53,20
590,6222,Order,12:35:06,10
591,2711,Delivered,17:30:44,3
592,9859,Delivered,"1 day, 0:48:52",8
593,3899,Delivered,14:45:04,18
594,5295,Order,6:49:42,13
595,2960,Order,"1 day, 0:17:21",5
596,1489,Order,9:28:29,5
597,2051,Order,0:49:33,1
598,9198,Order,16:31:04,2
599,4167,Not Delivered,8:35:57,8
600,4915,Delivered,2:28:11,15
601,2584,Delivered,16:10:16,19
602,9515,Order,11:56:48,16
603,3938,Delivered,18:13:50,10
604,7367,Not Delivered,13:17:42,11
605,6816,Not Delivered,21:32:10,18
606,6026,Delivered,13:05:58,1
607,4033,Order,6:15:29,2
608,7065,Not Delivered,21:19:21,14
609,965,Delivered,4:10:41,1
610,1906,Order,3:52:38,18
611,8845,Delivered,3:44:00,7
612,1376,Not Delivered,11:54:10,15
613,5228,Not Delivered,21:59:26,19
614,4360,Delivered,19:27:45,10
615,9529,Delivered,0:17:30,3
616,7362,Order,0:20:28,12
617,4362,Order,18:18:06,17
618,9831,Not Delivered,2:03:08,4
619,5569,Not Delivered,7:20:07,12
620,7325,Not Delivered,10:10:13,4
621,6786,Order,6:32:34,3
622,450,Delivered,23:59:43,10
623,3683,Delivered,7:53:39,9
624,5730,Not Delivered,4:42:35,16
625,9045,Order,20:58:55,2
626,2875,Delivered,7:26:37,16
627,4993,Order,4:29:20,16
628,1323,Delivered,12:08:11,16
629,2550,Delivered,11:43:10,8
630,9080,Not Delivered,"1 day, 0:17:30",12
631,2928,Order,21:30:50,3
632,3241,Delivered,5:55:19,20
633,7318,Order,5:32:58,18
634,3388,Delivered,12:02:17,6
635,6323,Not Delivered,0:09:43,20
636,2631,Order,14:24:18,13
637,5210,Order,0:21:35,19
638,1632,Order,13:18:36,15
639,3281,Order,23:24:25,7
640,2134,Not Delivered,9:19:42,6
641,4724,Not Delivered,16:18:43,14
642,1883,Delivered,18:40:55,5
643,7472,Order,15:17:47,9
644,5140,Not Delivered,9:25:01,17
645,1599,Delivered,2:10:22,12
646,4556,Order,"1 day, 0:11:26",9
647,6254,Delivered,10:55:20,2
648,4882,Not Delivered,6:46:33,1
649,8756,Not Delivered,22:04:58,7
650,9173,Delivered,21:13:27,10
651,8385,Delivered,15:51:08,17
652,4906,Order,23:52:31,9
653,3612,Order,8:47:05,10
654,2459,Order,20:03:49,10
655,1746,Not Delivered,11:04:08,8
656,1695,Order,0:10:36,2
657,2500,Order,23:49:25,5
658,2379,Order,11:21:59,20
659,9839,Delivered,11:01:16,18
660,6683,Delivered,17:52:59,13
661,8986,Delivered,12:53:17,20
662,1489,Not Delivered,14:27:12,13
663,7082,Not Delivered,6:59:56,8
664,9760,Not Delivered,5:26:44,5
665,4084,Not Delivered,7:20:29,6
666,744,Delivered,18:16:26,16
667,6919,Order,21:33:36,17
668,5349,Not Delivered,11:04:50,5
669,3616,Not Delivered,5:07:34,18
670,7608,Not Delivered,22:08:41,8
671,9678,Order,8:24:04,13
672,9732,Not Delivered,16:20:07,8
673,4202,Delivered,11:18:52,7
674,775,Delivered,9:48:45,13
675,8518,Delivered,16:50:08,19
676,981,Not Delivered,9:09:12,16
677,5671,Order,20:29:09,15
678,5462,Delivered,19:27:45,13
679,7870,Not Delivered,5:25:53,14
680,2923,Delivered,13:30:12,3
681,5822,Order,23:40:48,17
682,684,Not Delivered,4:07:40,4
683,1305,Order,9:16:13,9
684,1029,Not Delivered,"1 day, 0:57:11",11
685,7461,Delivered,3:21:54,8
686,2413,Delivered,4:33:06,18
687,8808,Not Delivered,0:18:20,15
688,9535,Not Delivered,"1 day, 0:06:51",1
689,3017,Order,1:35:29,17
690,1950,Delivered,15:25:08,12
691,4814,Order,11:44:22,7
692,3713,Order,7:02:29,4
693,5301,Delivered,1:28:39,3
694,3052,Delivered,21:18:45,14
695,3383,Order,17:17:38,1
696,1626,Order,4:45:40,16
697,1666,Delivered,19:37:00,15
698,2639,Not Delivered,18:44:39,6
699,3696,Not Delivered,5:18:12,20
700,5562,Delivered,11:33:44,3
701,4669,Delivered,8:39:26,12
702,1829,Not Delivered,8:18:23,7
703,2535,Not Delivered,19:23:45,17
704,5624,Not Delivered,"1 day, 0:25:19",3
705,7820,Delivered,"1 day, 0:42:41",19
706,2717,Not Delivered,17:55:36,7
707,4015,Delivered,15:59:22,2
708,860,Not Delivered,2:48:52,10
709,4184,Not Delivered,12:48:04,8
710,8488,Not Delivered,1:26:48,18
711,2746,Order,12:49:12,9
712,8160,Order,10:20:09,5
713,8051,Order,23:22:20,12
714,5208,Delivered,10:06:52,8
715,7686,Not Delivered,4:31:15,7
716,9897,Order,1:06:44,1
717,1953,Not Delivered,6:41:23,15
718,7412,Delivered,13:33:59,3
719,1533,Not Delivered,4:10:30,20
720,4893,Delivered,4:48:53,6
721,9787,Not Delivered,14:47:17,15
722,8096,Order,15:18:19,10
723,4281,Order,11:41:22,11
724,6444,Not Delivered,6:52:42,19
725,7756,Not Delivered,3:10:08,20
726,5004,Delivered,2:34:49,4
727,2801,Not Delivered,6:29:42,3
728,5365,Not Delivered,6:51:06,11
729,3922,Delivered,7:54:03,2
730,9609,Order,7:41:50,13
731,9420,Order,23:50:02,10
732,7985,Delivered,23:53:50,1
733,1556,Not Delivered,16:10:14,14
734,4192,Delivered,16:28:34,15
735,4871,Delivered,1:07:28,15
736,4960,Order,4:49:40,11
737,9009,Order,5:27:22,6
738,6083,Order,9:38:58,2
739,1849,Delivered,15:17:34,15
740,5648,Not Delivered,6:37:29,12
741,1168,Not Delivered,8:02:24,13
742,5310,Not Delivered,11:16:13,11
743,2419,Delivered,7:52:22,1
744,1162,Not Delivered,9:33:42,2
745,5949,Delivered,23:44:10,5
746,6151,Not Delivered,19:22:41,14
747,641,Order,12:56:04,20
748,9425,Not Delivered,20:58:25,14
749,3791,Order,17:17:56,12
750,7971,Order,16:47:33,1
751,5640,Not Delivered,13:17:23,4
752,8127,Delivered,16:47:07,20
753,860,Delivered,4:34:07,17
754,9374,Order,9:32:13,18
755,1173,Not Delivered,1:50:26,14
756,4632,Not Delivered,1:54:55,4
757,3350,Order,15:45:00,7
758,3948,Order,"1 day, 0:12:44",5
759,5373,Not Delivered,10:12:41,18
760,6184,Not Delivered,12:47:59,15
761,4557,Not Delivered,7:27:35,16
762,3440,Delivered,12:21:03,2
763,249,Not Delivered,4:29:43,7
764,1612,Order,11:55:15,17
765,7548,Delivered,17:08:20,12
